biblica_reference_text,chapter_id,exact_match,existing_canonical_text,normalized_similarity,notes,spoken_reference_status,verse
"Mungu akasema, “Iwepo mianga kwenye nafasi ya anga ili itenganishe usiku na mchana, nayo iwe alama ya kutambulisha majira mbalimbali, siku na miaka,",GEN_001,True,"Mungu akasema, “Iwepo mianga kwenye nafasi ya anga ili itenganishe usiku na mchana, nayo iwe alama ya kutambulisha majira mbalimbali, siku na miaka,",1.0,exact_match,unavailable,14
nayo iwe mianga kwenye nafasi ya anga ya kutia nuru juu ya dunia.” Ikawa hivyo.,GEN_001,False,ayo iwe mianga kwenye nafasi ya anga ya kutia nuru juu ya dunia.” Ikawa hivyo.,0.9333333333333333,spelling_or_orthography,unavailable,15
"Mungu akafanya mianga miwili mikubwa: mwanga mkubwa utawale mchana, na mwanga mdogo utawale usiku. Pia Mungu akafanya nyota.",GEN_001,True,"Mungu akafanya mianga miwili mikubwa: mwanga mkubwa utawale mchana, na mwanga mdogo utawale usiku. Pia Mungu akafanya nyota.",1.0,exact_match,unavailable,16
"Mungu akaiweka hiyo mianga katika nafasi ya anga iangaze dunia,",GEN_001,False,"Mungu akaiweka katika nafasi ya anga iangaze dunia,",0.8,addition,unavailable,17
"itawale usiku na mchana, na ikatenganishe nuru na giza. Mungu akaona kuwa hili ni jema.",GEN_001,True,"itawale usiku na mchana, na ikatenganishe nuru na giza. Mungu akaona kuwa hili ni jema.",1.0,exact_match,unavailable,18
"Ikawa jioni, ikawa asubuhi, siku ya nne.",GEN_001,True,"Ikawa jioni, ikawa asubuhi, siku ya nne.",1.0,exact_match,unavailable,19
"Mungu akasema, “Kuwepo na viumbe hai tele kwenye maji, nao ndege waruke juu ya dunia katika nafasi ya anga.”",GEN_001,True,"Mungu akasema, “Kuwepo na viumbe hai tele kwenye maji, nao ndege waruke juu ya dunia katika nafasi ya anga.”",1.0,exact_match,unavailable,20
"Kwa hiyo Mungu akaumba wanyama wakubwa wa baharini na kila kiumbe hai kiendacho majini kulingana na aina zake, na kila ndege mwenye mabawa kulingana na aina yake. Mungu akaona kuwa hili ni jema.",GEN_001,False,"Kwa hiyo Mungu akaumba viumbe wakubwa wa baharini na kila kiumbe hai kiendacho majini kulingana na aina zake, na kila ndege mwenye mabawa kulingana na aina yake. Mungu akaona kuwa hili ni jema.",0.9696969696969697,spelling_or_orthography,unavailable,21
"Mungu akavibariki, akasema, “Zaeni mwongezeke, mkayajaze maji ya bahari, nao ndege waongezeke katika dunia.”",GEN_001,True,"Mungu akavibariki, akasema, “Zaeni mwongezeke, mkayajaze maji ya bahari, nao ndege waongezeke katika dunia.”",1.0,exact_match,unavailable,22
"Ikawa jioni, ikawa asubuhi, siku ya tano.",GEN_001,True,"Ikawa jioni, ikawa asubuhi, siku ya tano.",1.0,exact_match,unavailable,23
"Mungu akasema, “Ardhi na itoe viumbe hai kulingana na aina zake: mifugo, viumbe vinavyotambaa ardhini na wanyama pori, kila kiumbe kulingana na aina yake.” Ikawa hivyo.",GEN_001,False,"Mungu akasema, “Ardhi na itoe viumbe hai kulingana na aina zake: wanyama wa kufugwa, viumbe vitambaavyo ardhini na wanyama pori, kila mnyama kulingana na aina yake.” Ikawa hivyo.",0.8214285714285714,word_substitution,unavailable,24
"Mungu akafanya wanyama pori kulingana na aina zake, mifugo kulingana na aina zake, na viumbe vyote vinavyotambaa ardhini kulingana na aina zake. Mungu akaona kuwa hili ni jema.",GEN_001,False,"Mungu akafanya wanyama pori kulingana na aina zake, wanyama wa kufugwa kulingana na aina zake, na viumbe vyote vitambaavyo juu ya ardhi kulingana na aina zake. Mungu akaona kuwa hili ni jema.",0.78125,word_substitution,unavailable,25
"Ndipo Mungu akasema, “Tufanye mtu kwa mfano wetu, kwa sura yetu, wakatawale samaki wa baharini na ndege wa angani, na mifugo na wanyama pori wote, na dunia yote, na viumbe vyote vinavyotambaa ardhini.”",GEN_001,False,"Ndipo Mungu akasema, “Tufanye mtu kwa mfano wetu, kwa sura yetu, wakatawale juu ya samaki wa baharini na ndege wa angani, juu ya mifugo, juu ya dunia yote, na juu ya viumbe wote watambaao juu ya nchi.”",0.5675675675675675,word_substitution,unavailable,26
"Kwa hiyo Mungu akamuumba mtu kwa mfano wake mwenyewe, kwa mfano wa Mungu alimuumba; mwanaume na mwanamke aliwaumba.",GEN_001,True,"Kwa hiyo Mungu akamuumba mtu kwa mfano wake mwenyewe, kwa mfano wa Mungu alimuumba; mwanaume na mwanamke aliwaumba.",1.0,exact_match,unavailable,27
"Mungu akawabariki na akawaambia, “Zaeni na mkaongezeke, mkaijaze dunia na kuitiisha. Mkatawale samaki wa baharini, ndege wa angani, na kila kiumbe hai kiendacho juu ya ardhi.”",GEN_001,False,"Mungu akawabariki na akawaambia, “Zaeni na mkaongezeke, mkaijaze tena dunia na kuitiisha. Mkatawale samaki wa baharini, ndege wa angani, na kila kiumbe hai kiendacho juu ya ardhi.”",0.962962962962963,omission,unavailable,28
"Kisha Mungu akasema, “Nimewapa kila mche utoao mbegu juu ya uso wa dunia yote, na kila mti wenye matunda yenye mbegu ndani yake. Vitakuwa chakula chenu.",GEN_001,True,"Kisha Mungu akasema, “Nimewapa kila mche utoao mbegu juu ya uso wa dunia yote, na kila mti wenye matunda yenye mbegu ndani yake. Vitakuwa chakula chenu.",1.0,exact_match,unavailable,29
"Nao wanyama wote wa nchi, ndege wote wa angani, na viumbe vyote viendavyo juu ya ardhi: yaani kila kiumbe chenye pumzi ya uhai, ninawapa kila mche wa kijani kuwa chakula.” Ikawa hivyo.",GEN_001,False,"Nao wanyama wote wa dunia, ndege wote wa angani, na viumbe vyote viendavyo juu ya ardhi: yaani kila kiumbe chenye pumzi ya uhai, ninawapa kila mche wa kijani kuwa chakula.” Ikawa hivyo.",0.96875,spelling_or_orthography,unavailable,30
"Mungu akaona vyote alivyoumba, na tazama, vilikuwa vizuri sana. Ikawa jioni, ikawa asubuhi, siku ya sita.",GEN_001,False,"Mungu akaona vyote alivyoumba, na tazama, ilikuwa vizuri sana. Ikawa jioni, ikawa asubuhi, siku ya sita.",0.9375,spelling_or_orthography,unavailable,31
"Basi Isa alipoona makundi ya watu, alipanda mlimani akaketi chini, nao wanafunzi wake wakamjia.",MAT_005,False,"Basi Yesu alipoona makutano, alipanda mlimani akaketi chini, nao wanafunzi wake wakamjia.",0.7142857142857143,word_substitution,unavailable,1
"Ndipo akaanza kuwafundisha, akisema:",MAT_005,True,"Ndipo akaanza kuwafundisha, akisema:",1.0,exact_match,unavailable,2
"“Heri walio maskini wa roho, maana ufalme wa mbinguni ni wao.",MAT_005,False,"“Heri walio maskini wa roho, maana Ufalme wa Mbinguni ni wao.",1.0,punctuation_only,unavailable,3
"Heri wale wanaohuzunika, maana hao watafarijiwa.",MAT_005,True,"Heri wale wanaohuzunika, maana hao watafarijiwa.",1.0,exact_match,unavailable,4
"Heri walio wapole, maana hao watairithi nchi.",MAT_005,True,"Heri walio wapole, maana hao watairithi nchi.",1.0,exact_match,unavailable,5
"Heri wenye njaa na kiu ya haki, maana hao watatoshelezwa.",MAT_005,True,"Heri wenye njaa na kiu ya haki, maana hao watatoshelezwa.",1.0,exact_match,unavailable,6
"Heri wenye huruma, maana hao watapata rehema.",MAT_005,True,"Heri wenye huruma, maana hao watapata rehema.",1.0,exact_match,unavailable,7
"Heri walio na moyo safi, maana hao watamwona Mungu.",MAT_005,True,"Heri walio na moyo safi, maana hao watamwona Mungu.",1.0,exact_match,unavailable,8
"Heri walio wapatanishi, maana hao wataitwa wana wa Mungu.",MAT_005,True,"Heri walio wapatanishi, maana hao wataitwa wana wa Mungu.",1.0,exact_match,unavailable,9
"Heri wanaoteswa kwa sababu ya haki, maana ufalme wa mbinguni ni wao.",MAT_005,False,"Heri wanaoteswa kwa sababu ya haki, maana Ufalme wa Mbinguni ni wao.",1.0,punctuation_only,unavailable,10
"“Heri ninyi watu watakapowashutumu, na kuwatesa na kunena mabaya ya aina zote dhidi yenu kwa uongo kwa ajili yangu.",MAT_005,False,"“Heri ninyi watu watakapowashutumu, na kuwatesa na kunena dhidi yenu mabaya ya aina zote kwa uongo kwa ajili yangu.",0.7894736842105263,word_order_change,unavailable,11
"Furahini na kushangilia kwa maana thawabu yenu ni kubwa mbinguni, kwa kuwa hivyo ndivyo walivyowatesa manabii waliokuwa kabla yenu.",MAT_005,False,"Furahini na kushangilia kwa maana thawabu yenu ni kubwa mbinguni, kwa kuwa hivyo ndivyo walivyowatesa manabii waliokuwa kabla yenu. Chumvi Na Nuru",0.8636363636363636,omission,unavailable,12
"“Ninyi ni chumvi ya ulimwengu. Lakini chumvi ikipoteza ladha yake, yawezaje kurudishiwa ladha yake tena? Haifai tena kwa kitu chochote, ila kutupwa nje ikanyagwe na watu.",MAT_005,True,"“Ninyi ni chumvi ya ulimwengu. Lakini chumvi ikipoteza ladha yake, yawezaje kurudishiwa ladha yake tena? Haifai tena kwa kitu chochote, ila kutupwa nje ikanyagwe na watu.",1.0,exact_match,unavailable,13
“Ninyi ni nuru ya ulimwengu. Mji uliojengwa kilimani hauwezi kufichika.,MAT_005,True,“Ninyi ni nuru ya ulimwengu. Mji uliojengwa kilimani hauwezi kufichika.,1.0,exact_match,unavailable,14
"Wala watu hawawashi taa na kuifunika kwa bakuli. Badala yake, huiweka kwenye kinara chake, nayo hutoa mwanga kwa kila mtu aliye ndani ya ile nyumba.",MAT_005,False,"Wala watu hawawashi taa na kuifunika kwa bakuli. Badala yake, huiweka kwenye kinara chake, nayo hutoa mwanga kwa kila mtu aliyemo ndani ya ile nyumba.",0.96,spelling_or_orthography,unavailable,15
"Vivyo hivyo, nuru yenu iangaze mbele ya watu, ili wapate kuona matendo yenu mema wamtukuze Baba yenu aliye mbinguni.",MAT_005,False,"Vivyo hivyo, nuru yenu iangaze mbele ya watu, ili wapate kuona matendo yenu mema wamtukuze Baba yenu aliye mbinguni. Kutimiza Sheria",0.9047619047619048,omission,unavailable,16
“Msidhani kwamba nimekuja kufuta Torati au Manabii; sikuja kuondoa bali kutimiza.,MAT_005,False,“Msidhani kwamba nimekuja kufuta Sheria au Manabii; sikuja kuondoa bali kutimiza.,0.9090909090909091,spelling_or_orthography,unavailable,17
"Kwa maana, amin nawaambia, hadi mbingu na dunia zitakapopita, hakuna hata herufi moja ndogo wala nukta itakayopotea kwa namna yoyote kutoka kwa Torati, hadi kila kitu kiwe kimetimia.",MAT_005,False,"Kwa maana, amin nawaambia, mpaka mbingu na dunia zitakapopita, hakuna hata herufi moja ndogo wala nukta itakayopotea kwa namna yoyote kutoka kwenye Sheria, mpaka kila kitu kiwe kimetimia.",0.8571428571428572,spelling_or_orthography,unavailable,18
"Kwa hiyo, yeyote atakayevunja mojawapo ya amri ndogo kuliko zote ya amri hizi, naye akawafundisha wengine kufanya hivyo, ataitwa mdogo kabisa katika ufalme wa mbinguni, lakini yeyote azitendaye na kuzifundisha hizi amri ataitwa mkuu katika ufalme wa mbinguni.",MAT_005,False,"Kwa hiyo, yeyote atakayevunja mojawapo ya amri ndogo kuliko zote ya amri hizi, naye akawafundisha wengine kufanya hivyo, ataitwa mdogo kabisa katika Ufalme wa Mbinguni, lakini yeyote azitendaye na kuzifundisha hizi amri ataitwa mkuu katika Ufalme wa Mbinguni.",1.0,punctuation_only,unavailable,19
"Kwa maana nawaambia, haki yenu isipozidi haki ya Mafarisayo na walimu wa Torati, kamwe hamtaingia katika ufalme wa mbinguni.",MAT_005,False,"Kwa maana nawaambia, haki yenu isipozidi haki ya Mafarisayo na walimu wa sheria, kamwe hamtaingia katika Ufalme wa Mbinguni. Kuhusu Hasira",0.8571428571428572,spelling_or_orthography,unavailable,20
"“Mmesikia walivyoambiwa watu wa zamani kwamba, ‘Usiue. Yeyote atakayeua atapaswa hukumu.’",MAT_005,True,"“Mmesikia walivyoambiwa watu wa zamani kwamba, ‘Usiue. Yeyote atakayeua atapaswa hukumu.’",1.0,exact_match,unavailable,21
"Lakini mimi nawaambia kwamba, yeyote atakayemkasirikia ndugu yake, atapaswa hukumu. Tena, yeyote atakayemwambia ndugu yake, ‘Raka ,’ atapaswa kujibu kwa Baraza la Wayahudi . Lakini yeyote atakayesema ‘Wewe mpumbavu!’ atapaswa hukumu ya moto wa Jehanamu.",MAT_005,False,"Lakini mimi nawaambia kwamba, yeyote atakayemkasirikia ndugu yake, atapaswa hukumu. Tena, yeyote atakayemwambia ndugu yake, ‘Raka,’l atapaswa kujibu kwa Baraza la Wayahudi.m Lakini yeyote atakayesema ‘Wewe mpumbavu!’ atapaswa hukumu ya moto wa jehanamu.",0.9428571428571428,omission,unavailable,22
"“Kwa hiyo, ikiwa unatoa sadaka yako madhabahuni, ukakumbuka kuwa ndugu yako ana kitu dhidi yako,",MAT_005,False,"“Kwa hiyo, kama unatoa sadaka yako madhabahuni, ukakumbuka kuwa ndugu yako ana kitu dhidi yako,",0.9333333333333333,spelling_or_orthography,unavailable,23
iache sadaka yako hapo mbele ya madhabahu. Nenda kwanza ukapatane na ndugu yako; kisha urudi na ukatoe sadaka yako.,MAT_005,False,iache sadaka yako hapo mbele ya madhabahu. Enda kwanza ukapatane na ndugu yako; kisha urudi na ukatoe sadaka yako.,0.9473684210526316,spelling_or_orthography,unavailable,24
"“Patana na mshtaki wako upesi wakati mpo njiani kwenda mahakamani, ili mshtaki wako asije akakutia mikononi mwa hakimu, naye hakimu akakutia mikononi mwa askari, nawe ukatupwa gerezani.",MAT_005,False,"“Patana na mshtaki wako upesi wakati uwapo njiani pamoja naye kwenda mahakamani, ili mshtaki wako asije akakutia mikononi mwa hakimu, naye hakimu akakutia mikononi mwa askari, nawe ukatupwa gerezani.",0.896551724137931,spelling_or_orthography,unavailable,25
"Amin, nakuambia, hutatoka humo hadi uwe umelipa senti ya mwisho.",MAT_005,False,"Amin, nakuambia, hautatoka humo hadi uwe umelipa senti ya mwisho. Kuhusu Uzinzi",0.75,word_substitution,unavailable,26
"“Mmesikia kwamba ilinenwa, ‘Usizini.’",MAT_005,True,"“Mmesikia kwamba ilinenwa, ‘Usizini.’",1.0,exact_match,unavailable,27
"Lakini mimi nawaambia kwamba, yeyote amtazamaye mwanamke kwa kumtamani, amekwisha kuzini naye moyoni mwake.",MAT_005,True,"Lakini mimi nawaambia kwamba, yeyote amtazamaye mwanamke kwa kumtamani, amekwisha kuzini naye moyoni mwake.",1.0,exact_match,unavailable,28
"Jicho lako la kuume likikusababisha kutenda dhambi, ling’oe ulitupe mbali. Ni afadhali kwako kupoteza kiungo kimoja cha mwili wako kuliko mwili wako mzima ukatupwa Jehanamu.",MAT_005,False,"Jicho lako la kuume likikusababisha yake ni dharau au dhihaka ya hali ya juu. kabisa la utawala wa Wayahudi lililoundwa na wazee 70 pamoja na kuhani mkuu. kutenda dhambi, ling’oe ulitupe mbali. Ni afadhali kwako kupoteza kiungo kimoja cha mwili wako kuliko mwili wako mzima ukatupwa jehanamu.",0.5416666666666667,omission,unavailable,29
"Kama mkono wako wa kuume ukikusababisha kutenda dhambi, ukate, uutupe mbali. Ni afadhali kwako kupoteza kiungo kimoja cha mwili wako kuliko mwili wako mzima utupwe Jehanamu.",MAT_005,False,"Kama mkono wako wa kuume ukikusababisha kutenda dhambi, ukate, uutupe mbali. Ni afadhali kwako kupoteza kiungo kimoja cha mwili wako kuliko mwili wako mzima utupwe jehanamu. Kuhusu Talaka (Mathayo 19:9; Marko 10:11-12; Luka 16:18)",0.6842105263157895,omission,unavailable,30
"“Pia ilinenwa kwamba, ‘Mtu yeyote amwachaye mkewe sharti ampe hati ya talaka.’",MAT_005,True,"“Pia ilinenwa kwamba, ‘Mtu yeyote amwachaye mkewe sharti ampe hati ya talaka.’",1.0,exact_match,unavailable,31
"Lakini mimi nawaambia, yeyote amwachaye mkewe isipokuwa kwa kosa la uasherati, amfanya mkewe kuwa mzinzi. Na yeyote amwoaye yule mwanamke aliyeachwa, anazini.",MAT_005,False,"Lakini mimi nawaambia, yeyote amwachaye mkewe isipokuwa kwa kosa la uasherati, amfanya mkewe kuwa mzinzi. Na yeyote amwoaye yule mwanamke aliyeachwa, anazini. Kuhusu Kuapa",0.9166666666666666,omission,unavailable,32
"“Tena mmesikia walivyoambiwa watu wa zamani kwamba, ‘Usiape kwa uongo, bali timiza kiapo kile ulichofanya kwa Mwenyezi Mungu.’",MAT_005,False,"“Tena mmesikia walivyoambiwa watu wa zamani kwamba, ‘Usiape kwa uongo, bali timiza kiapo kile ulichofanya kwa Bwana.’",0.8888888888888888,spelling_or_orthography,unavailable,33
"Lakini mimi nawaambia, msiape kabisa: iwe kwa mbingu, kwa kuwa ni kiti cha enzi cha Mungu;",MAT_005,True,"Lakini mimi nawaambia, msiape kabisa: iwe kwa mbingu, kwa kuwa ni kiti cha enzi cha Mungu;",1.0,exact_match,unavailable,34
"au kwa dunia, kwa kuwa ndipo mahali pake pa kuwekea miguu; au kwa Yerusalemu, kwa kuwa ndio mji wa Mfalme Mkuu.",MAT_005,True,"au kwa dunia, kwa kuwa ndipo mahali pake pa kuwekea miguu; au kwa Yerusalemu, kwa kuwa ndio mji wa Mfalme Mkuu.",1.0,exact_match,unavailable,35
"Nanyi msiape kwa vichwa vyenu, kwa kuwa hamwezi kuufanya hata unywele mmoja kuwa mweupe au mweusi.",MAT_005,True,"Nanyi msiape kwa vichwa vyenu, kwa kuwa hamwezi kuufanya hata unywele mmoja kuwa mweupe au mweusi.",1.0,exact_match,unavailable,36
"‘Ndiyo’ yenu iwe ‘Ndiyo,’ na ‘Hapana’ yenu iwe ‘Hapana.’ Lolote zaidi ya hili latoka kwa yule mwovu.",MAT_005,False,"‘Ndiyo’ yenu iwe ‘Ndiyo,’ na ‘Hapana’ yenu iwe ‘Hapana.’ Lolote zaidi ya hili latoka kwa yule mwovu. Kuhusu Kulipiza Kisasi",0.85,omission,unavailable,37
"“Mmesikia kwamba ilinenwa, ‘Jicho kwa jicho na jino kwa jino.’",MAT_005,True,"“Mmesikia kwamba ilinenwa, ‘Jicho kwa jicho na jino kwa jino.’",1.0,exact_match,unavailable,38
"Lakini mimi nawaambia, msishindane na mtu mwovu. Lakini kama mtu akikupiga kwenye shavu la kuume, mgeuzie na la pili pia.",MAT_005,True,"Lakini mimi nawaambia, msishindane na mtu mwovu. Lakini kama mtu akikupiga kwenye shavu la kuume, mgeuzie na la pili pia.",1.0,exact_match,unavailable,39
"Mtu akitaka kukushtaki na kuchukua joho lako, mwachie achukue na koti pia.",MAT_005,False,"Kama mtu akitaka kukushtaki na kuchukua joho lako, mwachie achukue na koti pia.",0.9230769230769231,omission,unavailable,40
"Mtu akikulazimisha kwenda maili moja , nenda naye maili mbili .",MAT_005,False,"Kama mtu akikulazimisha kwenda maili moja, nenda naye maili mbili.",0.9,omission,unavailable,41
"Mpe yeye akuombaye, wala usimgeuzie kisogo yeye atakaye kukukopa.",MAT_005,False,"Mpe yeye akuombaye, wala usimgeuzie kisogo yeye atakaye kukukopa. Upendo Kwa Adui",0.75,omission,unavailable,42
"“Mmesikia kwamba ilinenwa, ‘Mpende jirani yako na umchukie adui yako.’",MAT_005,True,"“Mmesikia kwamba ilinenwa, ‘Mpende jirani yako na umchukie adui yako.’",1.0,exact_match,unavailable,43
"Lakini ninawaambia: Wapendeni adui zenu, na waombeeni wanaowatesa ninyi,",MAT_005,False,"Lakini ninawaambia: Wapendeni adui zenu na waombeeni wanaowatesa ninyi,",1.0,punctuation_only,unavailable,44
"ili mpate kuwa watoto wa Baba yenu aliye mbinguni. Kwa maana yeye huwaangazia jua lake watu waovu na watu wema, naye huwanyeshea mvua wenye haki na wasio haki.",MAT_005,True,"ili mpate kuwa watoto wa Baba yenu aliye mbinguni. Kwa maana yeye huwaangazia jua lake watu waovu na watu wema, naye huwanyeshea mvua wenye haki na wasio haki.",1.0,exact_match,unavailable,45
"Mkiwapenda tu wale wanaowapenda, mtapata thawabu gani? Je, hata watoza ushuru hawafanyi hivyo?",MAT_005,False,"Kama mkiwapenda tu wale wanaowapenda, mtapata thawabu gani? Je, hata watoza ushuru hawafanyi hivyo?",0.9285714285714286,omission,unavailable,46
"Nanyi mkiwasalimu ndugu zenu tu, je, mnafanya nini zaidi ya wengine? Je, hata watu wasiomjua Mungu hawafanyi hivyo?",MAT_005,False,"Nanyi kama mkiwasalimu ndugu zenu tu, je, mnafanya nini zaidi ya wengine? Je, hata watu wasiomjua Mungu, hawafanyi hivyo?",0.9473684210526316,omission,unavailable,47
Kwa hiyo kuweni wakamilifu kama Baba yenu wa mbinguni alivyo mkamilifu.,MAT_005,False,Kwa hiyo kuweni wakamilifu kama Baba yenu wa mbinguni alivyo mkamilifu. Kuwapa Wahitaji,0.8461538461538461,omission,unavailable,48
"Mwenyezi Mungu ndiye mchungaji wangu, sitapungukiwa na kitu.",PSA_023,False,"Bwana ndiye mchungaji wangu, sitapungukiwa na kitu.",0.75,word_substitution,unavailable,1
"Hunilaza katika malisho ya majani mabichi, kando ya maji matulivu huniongoza,",PSA_023,True,"Hunilaza katika malisho ya majani mabichi, kando ya maji matulivu huniongoza,",1.0,exact_match,unavailable,2
hunihuisha nafsi yangu. Huniongoza katika njia za haki kwa ajili ya jina lake.,PSA_023,True,hunihuisha nafsi yangu. Huniongoza katika njia za haki kwa ajili ya jina lake.,1.0,exact_match,unavailable,3
"Hata nikipita katikati ya bonde la uvuli wa mauti, sitaogopa mabaya, kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",PSA_023,False,"Hata kama nikipita katikati ya bonde la uvuli wa mauti, sitaogopa mabaya, kwa maana wewe upo pamoja nami; fimbo yako na mkongojo wako vyanifariji.",0.9583333333333334,omission,unavailable,4
"Waandaa meza mbele yangu machoni pa adui zangu. Umenipaka mafuta kichwani pangu, kikombe changu kinafurika.",PSA_023,True,"Waandaa meza mbele yangu machoni pa adui zangu. Umenipaka mafuta kichwani pangu, kikombe changu kinafurika.",1.0,exact_match,unavailable,5
"Hakika wema na upendo vitanifuata siku zote za maisha yangu, nami nitakaa nyumbani mwa Mwenyezi Mungu milele.",PSA_023,False,"Hakika wema na upendo vitanifuata siku zote za maisha yangu, nami nitakaa nyumbani mwa Bwana milele.",0.8823529411764706,spelling_or_orthography,unavailable,6
"Kwa hiyo, sasa hakuna hukumu ya adhabu kwa wale walio ndani ya Al-Masihi Isa .",ROM_008,False,"Kwa hiyo, sasa hakuna hukumu ya adhabu kwa wale walio ndani ya Kristo Yesu, wale ambao hawaenendi kwa kuufuata mwili bali kwa kufuata Roho.",0.5,word_substitution,unavailable,1
Kwa sababu sheria ya Roho wa uzima katika Al-Masihi Isa imeniweka huru mbali na sheria ya dhambi na mauti.,ROM_008,False,Kwa sababu sheria ya Roho wa uzima katika Kristo Yesu imeniweka huru mbali na sheria ya dhambi na mauti.,0.85,word_substitution,unavailable,2
"Kwa maana kile ambacho Torati haikuwa na uwezo wa kufanya, kwa vile ilivyokuwa dhaifu katika mwili, Mungu kwa kumtuma Mwanawe mwenyewe kwa mfano wa mwanadamu mwenye mwili ulio wa dhambi na kwa ajili ya dhambi, yeye aliihukumu dhambi katika mwili,",ROM_008,False,"Kwa maana kile ambacho sheria haikuwa na uwezo wa kufanya, kwa vile ilivyokuwa dhaifu katika mwili, Mungu kwa kumtuma Mwanawe mwenyewe kwa mfano wa mwanadamu mwenye mwili ulio wa dhambi na kwa ajili ya dhambi, yeye aliihukumu dhambi katika mwili,",0.975,spelling_or_orthography,unavailable,3
"ili haki ipatikanayo kwa Torati itimizwe ndani yetu sisi, ambao hatuenendi kwa kuufuata mwili bali kwa kufuata Roho wa Mungu.",ROM_008,False,"ili kwamba haki ipatikanayo kwa sheria itimizwe ndani yetu sisi, ambao hatuenendi kwa kuufuata mwili bali kwa kufuata Roho.",0.8,spelling_or_orthography,unavailable,4
